date,Close,High,Low,Open,Volume
,GS,GS,GS,GS,GS
2025-01-02,574.969970703125,584.3099975585938,569.739990234375,579.3099975585938,2219000
2025-01-03,580.1300048828125,582.1400146484375,571.72998046875,581.0,1422600
2025-01-06,583.3900146484375,593.6500244140625,579.8200073242188,584.97998046875,2257000
2025-01-07,580.1199951171875,588.280029296875,568.4000244140625,587.1099853515625,2021900
2025-01-08,580.02001953125,581.2000122070312,572.6699829101562,581.0399780273438,1513400
2025-01-10,560.0,576.25,558.010009765625,576.25,2817900
2025-01-13,562.9500122070312,566.1900024414062,556.760009765625,557.8800048828125,1871200
2025-01-14,571.530029296875,573.5900268554688,565.2000122070312,569.6599731445312,2221900
2025-01-15,605.9199829101562,609.4099731445312,593.0,598.0,5119800
2025-01-16,612.989990234375,616.8400268554688,606.0,609.989990234375,3224500
2025-01-17,625.9400024414062,627.0,613.0,617.7999877929688,3425200
2025-01-21,634.739990234375,635.4299926757812,609.0,616.8099975585938,5076700
2025-01-22,632.72998046875,635.5999755859375,629.7100219726562,633.4400024414062,2835700
2025-01-23,639.5,645.5399780273438,634.489990234375,634.9199829101562,2582700
2025-01-24,636.9000244140625,640.5999755859375,628.9600219726562,630.0,3182400
2025-01-27,633.280029296875,635.7050170898438,624.4600219726562,625.0,2609731
