source,compound
9to5Mac,0.395
9to5google.com,0.25
ABC News,-0.498525
Al Jazeera English,-0.003974683544303797
Android Authority,0.0258
Android Central,-0.5859
Android Police,0.55435
AppleInsider,0.8519
Associated Press,0.0
BBC News,0.11544375
Bloomberg,0.0
Business Insider,0.0068476190476190486
CNBC,0.0
CNN,0.0
DIYphotography,-0.1027
Digital Trends,0.4404
ESPN,0.6124
ESPN Cric Info,0.0
Entertainment Weekly,0.0
Firstpost,0.0
Fox News,0.0
Gizmodo.com,0.14753333333333332
HYPEBEAST,0.4588
Hindustan Times,0.0
IndieWire,0.5738500000000001
Jalopnik,0.8957
KARK,-0.296
MacRumors,0.0
Medical News Today,0.0
NDTV News,0.0
NPR,-0.6908
New York Magazine,0.0
Phandroid - News for Android,0.0
Phys.Org,-0.9337
Pitchfork,0.44785
Polygon,-0.3182
Ritholtz.com,-0.1027
Rolling Stone,-0.13895
Scientific American,0.4901
Smittenkitchen.com,0.0
TechCrunch,0.0
The Irish Times,0.0
The New York Review of Books,0.4939
The Next Web,0.8316
The Points Guy,-0.03962499999999998
The Wall Street Journal,0.0
The Washington Post,0.0
TheJournal.ie,0.0
Theregister.com,0.6249
Time,0.0
USA Today,0.0
Wired,0.296
Yahoo Entertainment,-0.2023
